Database???Monthly
"Month��202012-,last190"
Month,Passenger Traffic Current Period(10000 persons),Passenger Traffic Accumulated (10000 persons),Passenger Traffic Growth Rate (The same period last year=100)(%),Passenger Traffic Accumulated Growth Rate (%),Passenger Traffic of Railways Current Period(10000 persons),Passenger Traffic of Railways Accumulated (10000 persons),Passenger Traffic of Railways Growth Rate (The same period last year=100)(%),Passenger Traffic of Railways Accumulated Growth Rate (%),Passenger Traffic of Highways Current Period(10000 persons),Passenger Traffic of Highways Accumulated (10000 persons),Passenger Traffic of Highways Growth Rate (The same period last year=100)(%),Passenger Traffic of Highways Accumulated Growth Rate (%),Passenger Traffic of Waterways Current Period(10000 persons),Passenger Traffic of Waterways Accumulated (10000 persons),Passenger Traffic of Waterways Growth Rate (The same period last year=100)(%),Passenger Traffic of Waterways Accumulated Growth Rate (%),Passenger Traffic of Civil Aviation Current Period(10000 persons),Passenger Traffic of Civil Aviation Accumulated (10000 persons),Passenger Traffic of Civil Aviation Growth Rate (The same period last year=100)(%),Passenger Traffic of Civil Aviation Accumulated Growth Rate (%)
Feb 2021,,,,,,,,,,,,,,,,,,,,
Jan 2021,67112,67112,-47.3,-47.3,15715,15715,-42.1,-42.1,47527,47527,-49.4,-49.4,852,852,-38.7,-38.7,3018,3018,-40.4,-40.4
Dec 2020,86756,966512,-35.5,-45.1,20743,220323,-21.1,-39.8,60632,689425,-40.1,-47.0,1149,14987,-32.2,-45.2,4232,41777,-19.8,-36.7
Nov 2020,91786,879743,-32.7,-45.9,21504,199580,-20.6,-41.2,64378,628793,-36.9,-47.6,1462,13838,-27.4,-46.1,4441,37532,-16.3,-38.2
Oct 2020,107355,787958,-31.0,-47.1,27169,178075,-14.8,-43.0,73173,564415,-36.6,-48.6,1980,12376,-26.9,-47.7,5032,33091,-11.7,-40.3
Sep 2020,97345,680602,-33.7,-49.0,23537,150906,-21.2,-46.2,67449,491242,-38.2,-50.0,1566,10396,-31.9,-50.4,4794,28059,-12.5,-43.6
Aug 2020,98214,583258,-37.8,-50.9,24864,127369,-34.4,-49.2,66934,423793,-39.6,-51.5,1799,8830,-41.2,-52.6,4617,23265,-24.6,-47.4
Jul 2020,89292,485043,-42.0,-52.9,20737,102505,-41.7,-51.9,63246,356859,-42.5,-53.2,1399,7031,-45.9,-54.9,3910,18648,-34.1,-51.1
June 2020,80051,395751,-43.7,-54.8,16589,81768,-46.0,-53.9,59140,293613,-43.1,-55.0,1248,5632,-46.0,-56.7,3074,14738,-42.4,-54.2
May 2020,73748,315701,-49.3,-56.9,15675,65179,-49.1,-55.6,54234,234474,-49.2,-57.3,1255,4384,-51.0,-59.0,2583,11664,-52.6,-56.5
Apr 2020,57320,241953,-60.2,-58.8,11160,49504,-63.5,-57.3,43603,180240,-58.8,-59.2,886,3129,-61.8,-61.5,1671,9081,-68.5,-57.5
Mar 2020,38573,184633,-73.0,-58.4,7495,38344,-73.1,-55.1,29007,136637,-73.1,-59.4,557,2243,-72.3,-61.4,1515,7409,-71.7,-53.9
Feb 2020,18645,146060,-88.3,-51.4,3723,30849,-87.2,-46.3,13792,107630,-88.7,-52.9,297,1686,-87.2,-55.7,834,5895,-84.5,-45.0
Jan 2020,127415,127415,-10.1,-10.1,27126,27126,-4.3,-4.3,93839,93839,-11.9,-11.9,1390,1390,-7.1,-7.1,5061,5061,-5.3,-5.3
Dec 2019,134466,1760435,-3.3,-1.9,26306,366002,4.5,8.4,101200,1301173,-5.5,-4.8,1684,27267,-4.2,-2.6,5276,65993,5.1,7.9
Nov 2019,136363,1625964,-1.6,-1.7,27080,339696,7.6,8.8,101962,1199973,-4.1,-4.8,2016,25583,-3.6,-2.4,5306,60712,6.0,8.1
Oct 2019,155616,1489601,-2.7,-1.8,31903,312616,4.7,8.9,115364,1098012,-4.9,-4.8,2651,23567,-2.4,-2.3,5698,55407,5.3,8.3
Sep 2019,146875,1333985,-2.4,-1.6,29873,280713,5.7,9.4,109178,982647,-4.8,-4.8,2348,20916,-4.3,-2.3,5475,49708,8.9,8.7
Aug 2019,157821,1187109,-1.2,-1.6,37884,250840,10.3,9.8,110843,873469,-4.9,-4.8,2970,18567,-2.9,-2.1,6124,44233,8.2,8.7
Jul 2019,153968,1029289,-0.7,-1.6,35570,212956,10.2,9.7,109953,762626,-4.3,-4.8,2514,15598,-0.7,-1.9,5930,38109,10.2,8.7
Jun 2019,142289,875321,-1.5,-1.8,30735,177386,10.4,9.6,103883,652673,-4.9,-4.9,2329,13084,-4.0,-2.2,5341,32179,8.2,8.5
May 2019,145481,733032,-0.2,-1.8,30801,146651,14.8,9.5,106669,548790,-4.2,-4.9,2561,10754,1.6,-1.7,5451,26837,8.7,8.5
Apr 2019,143977,587551,-2.7,-2.2,30536,115850,5.7,8.1,105820,442121,-5.2,-5.1,2308,8193,-5.1,-2.7,5312,21386,4.7,8.5
